Date,Time,Nitrogen dioxide,Ozone,PM10,PM2.5,Sulphur dioxide
1/1/2024,12:00:00 AM,8.92151,62.33236,no data,no data,2.18837
1/1/2024,1:00:00 AM,8.78182,63.33021,no data,no data,1.48809
1/1/2024,2:00:00 AM,8.25901,61.61724,no data,no data,1.31302
1/1/2024,3:00:00 AM,7.36963,63.01423,no data,no data,0.91912
1/1/2024,4:00:00 AM,7.84072,63.56305,no data,no data,1.05042
1/1/2024,5:00:00 AM,7.99774,63.56305,no data,no data,0.91912
1/1/2024,6:00:00 AM,9.51257,62.36563,no data,no data,0.78781
1/1/2024,7:00:00 AM,9.87941,59.52175,no data,no data,0.91912
1/1/2024,8:00:00 AM,14.27005,55.08132,no data,no data,0.19695
1/1/2024,9:00:00 AM,14.42788,55.77982,no data,no data,0.39391
1/1/2024,10:00:00 AM,18.03684,52.23745,no data,no data,0.59086
1/1/2024,11:00:00 AM,13.17698,59.2224,no data,no data,0.59086
1/1/2024,12:00:00 PM,14.1706,57.92519,no data,no data,0.52521
1/1/2024,1:00:00 PM,14.63742,58.37423,no data,no data,0.39391
1/1/2024,2:00:00 PM,18.03311,54.08347,no data,no data,0.72216
1/1/2024,3:00:00 PM,24.93113,48.04648,no data,no data,0.98477
1/1/2024,4:00:00 PM,28.32816,44.95314,no data,no data,0.85347
1/1/2024,5:00:00 PM,27.75363,48.5953,no data,no data,0.91912
1/1/2024,6:00:00 PM,19.33972,55.13121,no data,no data,1.11607
1/1/2024,7:00:00 PM,14.42548,59.92089,no data,no data,1.24737
1/1/2024,8:00:00 PM,15.57639,59.27229,no data,no data,1.50998
1/1/2024,9:00:00 PM,12.23162,61.56735,no data,no data,1.77258
1/1/2024,10:00:00 PM,12.28121,66.40692,no data,no data,2.03518
1/1/2024,11:00:00 PM,8.93804,75.28778,no data,no data,2.10084
2/1/2024,12:00:00 AM,7.66531,75.10484,no data,no data,0.52511
2/1/2024,1:00:00 AM,7.94435,72.44391,no data,no data,0.52511
2/1/2024,2:00:00 AM,4.54688,76.83445,no data,no data,0.52511
2/1/2024,3:00:00 AM,4.39173,79.32908,no data,no data,0.32819
2/1/2024,4:00:00 AM,7.63038,70.74757,no data,no data,0.32819
2/1/2024,5:00:00 AM,7.21343,71.24649,no data,no data,0.39383
2/1/2024,6:00:00 AM,10.19216,68.5024,no data,no data,0.45947
2/1/2024,7:00:00 AM,19.75673,57.02713,no data,no data,0.52511
2/1/2024,8:00:00 AM,41.71537,38.11787,no data,no data,0.78766
2/1/2024,9:00:00 AM,47.99388,33.72733,no data,no data,0.85329
2/1/2024,10:00:00 AM,41.55942,38.51701,no data,no data,1.31276
2/1/2024,11:00:00 AM,17.97984,67.10541,no data,no data,1.31276
2/1/2024,12:00:00 PM,15.6295,67.95359,no data,no data,1.44404
2/1/2024,1:00:00 PM,11.65849,69.55015,no data,no data,2.03478
2/1/2024,2:00:00 PM,10.03593,73.54155,10.55,6.368,2.23169
2/1/2024,3:00:00 PM,7.58055,80.42671,5.8,2.311,2.29733
2/1/2024,4:00:00 PM,9.82907,81.12521,4,1.439,2.16605
2/1/2024,5:00:00 PM,17.9836,73.14241,3.95,2.17,1.50967
2/1/2024,6:00:00 PM,16.25654,73.69122,6.05,3.349,1.11585
2/1/2024,7:00:00 PM,18.19181,70.19875,8.35,4.835,1.05021
2/1/2024,8:00:00 PM,14.74038,70.39832,12.225,6.604,0.98457
2/1/2024,9:00:00 PM,11.44813,69.89939,12.725,7.005,0.98457
2/1/2024,10:00:00 PM,8.62535,69.10111,13.25,7.146,0.85329
2/1/2024,11:00:00 PM,6.89964,69.25079,12,6.486,0.72202
3/1/2024,12:00:00 AM,6.20222,69.91602,11.5,6.061,1.05
3/1/2024,1:00:00 AM,6.62061,68.31946,14.675,7.594,1.05
3/1/2024,2:00:00 AM,6.27316,71.24649,16.025,8.561,1.05
3/1/2024,3:00:00 AM,6.68956,71.89509,12.875,6.958,0.98437
